time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID,Ind_ID
2014-09-13 10:28:58,notMoving,-0.25,0.25,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:28:58,notMoving,-0.25,0.25,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:28:59,notMoving,-0.31,0.88,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:00,CLIP,-0.19,0.44,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:01,CLIP,-0.13,0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:01,CLIP,-0.13,0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:02,CLIP,0.56,-0.69,0.94,G!_Bk!,G!_Bk!
2014-09-13 10:29:04,SlowMove,-0.19,-0.19,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:29:05,SlowMove,-0.06,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:05,SlowMove,-0.06,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:06,SlowMove,0,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:06,SlowMove,0,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:07,SlowMove,-0.13,-0.63,0.38,G!_Bk!,G!_Bk!
2014-09-13 10:29:07,SlowMove,-0.13,-0.63,0.38,G!_Bk!,G!_Bk!
2014-09-13 10:29:08,SlowMove,0.13,-0.38,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:09,CLIP,0.56,-0.63,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:10,CLIP,-1.19,1.69,-7.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:10,CLIP,-1.19,1.69,-7.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:11,CLIP,0.06,1.06,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:11,CLIP,0.06,1.06,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:12,CLIP,0.25,0.38,0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:13,SlowMove,0.06,0.06,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:14,SlowMove,0,0.44,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:14,SlowMove,0,0.44,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:15,SlowMove,-0.5,0.31,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:15,SlowMove,-0.5,0.31,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:16,SlowMove,-0.38,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:16,SlowMove,-0.38,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:17,SlowMove,0,0.13,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:29:17,SlowMove,0,0.13,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:29:18,SlowMove,0.25,-0.06,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:29:18,SlowMove,0.25,-0.06,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:29:19,SlowMove,0.75,0.38,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:19,SlowMove,0.75,0.38,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:20,SlowMove,0.13,0.25,1.31,G!_Bk!,G!_Bk!
2014-09-13 10:29:20,SlowMove,0.13,0.25,1.31,G!_Bk!,G!_Bk!
2014-09-13 10:29:21,SlowMove,0.25,-0.56,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:29:22,CLIP,0.31,-0.81,0,G!_Bk!,G!_Bk!
2014-09-13 10:29:23,CLIP,-0.13,-0.81,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:23,CLIP,-0.13,-0.81,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:24,CLIP,-0.13,-0.44,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:24,CLIP,-0.13,-0.44,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:25,CLIP,-0.56,-0.19,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:25,CLIP,-0.56,-0.19,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:26,CLIP,-0.5,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:26,CLIP,-0.5,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:27,CLIP,-0.44,-0.31,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:29:27,CLIP,-0.44,-0.31,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:29:28,CLIP,-0.38,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:28,CLIP,-0.38,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:29,CLIP,-1.13,-0.63,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:29:29,CLIP,-1.13,-0.63,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:29:30,CLIP,-0.56,-0.5,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:30,CLIP,-0.56,-0.5,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:31,CLIP,-0.25,-0.25,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:29:31,CLIP,-0.25,-0.25,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:29:32,CLIP,-0.56,0.25,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:32,CLIP,-0.56,0.25,0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:33,CLIP,-0.75,0.44,-0.31,G!_Bk!,G!_Bk!
2014-09-13 10:29:33,CLIP,-0.75,0.44,-0.31,G!_Bk!,G!_Bk!
2014-09-13 10:29:34,CLIP,-0.75,0.38,0,G!_Bk!,G!_Bk!
2014-09-13 10:29:34,CLIP,-0.75,0.38,0,G!_Bk!,G!_Bk!
2014-09-13 10:29:35,CLIP,-0.63,0,0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:35,CLIP,-0.63,0,0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:36,CLIP,-0.69,-0.5,0.56,G!_Bk!,G!_Bk!
